ID,UTC,LAT,LON,NSAT,WIND_DIR_LOWER,WIND_SPD_LOWER,WIND_DIR_UPPER,WIND_SPD_UPPER,STRUCT_ORIENT,PITCH_ANGLE,ROLL_ANGLE,BAT,VOLBAT
1,807174525,435457621,-56657374,7,52.0,0.000,102.0,0.000,146.5,17,25,99.4,4.181
1,807174526,435457623,-56657382,7,52.0,0.000,102.0,0.000,145.9,16,25,99.4,4.184
1,807174527,435457672,-56657601,7,52.0,0.000,102.0,0.000,146.0,16,25,99.4,4.182
1,807174528,435457665,-56657736,7,52.0,0.000,102.0,0.000,146.3,16,25,99.4,4.181
1,807174529,435457808,-56657739,7,52.0,0.000,102.0,0.000,146.3,16,25,99.4,4.179
1,807174530,435457755,-56657679,7,52.0,0.000,102.0,0.000,146.1,16,25,99.4,4.180
1,807174531,435457796,-56657539,7,52.0,0.000,102.0,0.000,146.4,16,25,99.4,4.180
1,807174532,435457715,-56657637,7,52.0,0.000,102.0,0.000,146.4,16,25,99.4,4.182
1,807174533,435457781,-56657915,8,52.0,0.000,102.0,0.000,146.4,16,25,99.4,4.177
1,807174534,435457813,-56657941,7,52.0,0.000,102.0,0.000,146.2,16,25,99.4,4.180
1,807174535,435457666,-56657745,7,52.0,0.000,102.0,0.000,146.5,17,25,99.4,4.179
1,807174536,435457456,-56657685,7,52.0,0.500,102.0,0.000,146.8,17,25,99.4,4.182
1,807174537,435457370,-56657451,7,52.0,0.000,102.0,0.000,146.3,16,25,99.4,4.184
1,807174538,435457226,-56657253,8,52.0,0.500,102.0,0.000,146.1,17,26,99.4,4.184
1,807174539,435456828,-56657194,7,52.0,0.500,102.0,0.000,146.4,17,26,99.4,4.181
1,807174540,435456812,-56657073,8,52.0,0.500,102.0,0.000,146.2,17,26,99.4,4.184
1,807174541,435456730,-56657015,7,nan,nan,102.0,0.000,146.5,17,26,99.4,4.179
1,807174542,435456432,-56657002,7,52.0,0.600,nan,nan,146.9,17,26,99.4,4.181
1,807174543,435456430,-56657026,7,52.0,0.700,102.0,0.000,146.7,17,26,99.4,4.184
1,807174544,435456299,-56657222,7,52.0,0.800,102.0,0.000,146.9,17,26,99.4,4.180
1,807174545,435456483,-56657216,7,52.0,0.600,102.0,0.000,146.8,17,25,99.4,4.180
1,807174546,435456287,-56657104,7,52.0,0.000,102.0,0.000,146.8,17,26,99.4,4.181
1,807174547,435456252,-56656973,7,52.0,0.000,102.0,0.500,146.9,17,25,99.4,4.182
1,807174548,435456493,-56657231,7,52.0,0.000,102.0,0.500,146.9,17,26,99.4,4.181
1,807174549,435456412,-56657420,7,52.0,0.000,102.0,0.000,146.9,17,25,99.4,4.182
1,807174550,435456293,-56657213,7,52.0,0.000,102.0,0.000,146.7,17,26,99.4,4.181
1,807174551,435456260,-56657278,7,52.0,0.000,102.0,0.000,146.9,17,26,99.4,4.177
1,807174552,435456206,-56657295,7,52.0,0.000,102.0,0.000,146.9,17,25,99.4,4.177
1,807174553,435456201,-56657232,7,52.0,0.000,102.0,0.000,146.8,17,26,99.4,4.179
1,807174554,435455997,-56657093,7,52.0,0.000,102.0,0.000,147.0,0,16,99.4,4.179
1,807174555,435455908,-56657027,7,52.0,0.000,102.0,0.000,146.9,17,26,99.4,4.182
1,807174556,435455786,-56656879,7,52.0,0.000,102.0,0.000,146.9,17,26,99.4,4.181
1,807174557,435455942,-56656925,7,52.0,0.000,102.0,0.000,147.1,17,26,99.4,4.185
1,807174558,435455942,-56656882,7,52.0,0.000,102.0,0.000,147.0,0,16,99.4,4.185
1,807174559,435456030,-56656803,7,52.0,0.000,102.0,0.000,147.3,17,25,99.4,4.185
1,807174560,435456304,-56657098,7,52.0,0.700,102.0,0.600,147.2,17,26,99.4,4.182
1,807174561,435456362,-56657208,7,52.0,0.000,102.0,0.000,147.2,17,26,99.4,4.181
1,807174562,435456482,-56657172,7,52.0,0.800,102.0,0.800,147.2,17,26,99.4,4.182
1,807174563,435456441,-56657009,8,52.0,0.700,102.0,0.700,147.0,0,16,99.4,4.185
1,807174564,435456310,-56656858,7,52.0,0.900,95.0,1.000,147.0,0,16,99.4,4.182
1,807174566,435456253,-56656819,7,52.0,0.800,95.0,0.800,146.6,15,25,99.4,4.184
1,807174568,435456122,-56656856,7,52.0,0.500,95.0,0.700,146.5,15,25,99.4,4.184
1,807174569,435456148,-56656994,7,52.0,0.600,95.0,0.800,146.7,15,25,99.4,4.184
1,807174570,435455893,-56657019,7,52.0,0.800,112.0,1.000,146.4,14,25,99.4,4.184
1,807174571,435455899,-56657018,7,52.0,0.900,118.0,1.000,146.6,15,25,99.4,4.184
1,807174572,435455862,-56657022,8,52.0,0.700,97.0,0.600,146.7,15,25,99.4,4.184
1,807174573,435456171,-56656983,7,52.0,0.500,97.0,0.700,146.5,15,25,99.4,4.184
1,807174574,435456232,-56656837,8,52.0,0.000,97.0,0.500,146.6,15,25,99.4,4.184
1,807174575,435456464,-56656993,7,52.0,0.000,97.0,0.000,146.6,15,25,99.4,4.184
1,807174576,435456685,-56657249,7,52.0,0.500,97.0,0.000,146.8,15,25,99.4,4.184
1,807174577,435456672,-56657146,7,52.0,0.000,97.0,0.000,146.9,15,25,99.4,4.184
1,807174578,435456536,-56657071,8,52.0,0.000,97.0,0.000,147.0,15,16,99.4,4.184
1,807174579,435456531,-56656925,7,52.0,0.000,97.0,0.000,146.8,15,25,99.4,4.184
1,807174580,435456562,-56656974,8,52.0,0.000,97.0,0.000,146.9,15,25,99.4,4.184
1,807174581,435456781,-56657160,7,52.0,0.000,97.0,0.000,147.0,15,16,99.4,4.184
1,807174582,435456708,-56657361,8,52.0,0.000,97.0,0.000,146.9,15,25,99.4,4.184
1,807174583,435456912,-56657325,6,52.0,0.000,97.0,0.000,146.9,15,25,99.4,4.184
1,807174584,435456832,-56657424,8,52.0,0.700,97.0,0.900,147.1,15,25,99.4,4.184
1,807174585,435457101,-56657591,8,63.0,1.300,78.0,1.400,147.1,15,25,99.4,4.184
1,807174586,435457065,-56657655,7,64.0,1.700,79.0,1.300,147.1,15,25,99.4,4.184
1,807174587,435456753,-56657661,7,60.0,1.500,71.0,1.400,147.2,15,25,99.4,4.184
1,807174588,435456408,-56657670,7,78.0,1.000,68.0,1.300,147.3,15,25,99.4,4.184
1,807174589,435456493,-56657856,8,63.0,1.400,73.0,1.200,147.2,15,25,99.4,4.184
1,807174590,435456172,-56657629,8,83.0,1.100,70.0,1.000,147.2,15,25,99.4,4.184
1,807174591,435456084,-56657511,8,57.0,1.000,75.0,1.100,147.3,15,25,99.4,4.184
1,807174592,435456018,-56657781,7,66.0,1.200,83.0,1.000,147.1,15,25,99.4,4.184
